url,parsed,dropped,neither
https://www.thesun.co.uk/news/24433600/greta-thunberg-arrestedprotest-conference-london/,True,False,False
https://www.thesun.co.uk/news/24475183/tories-election-eco-zombie-alistair-strathern-mid-bedfordshire-seat/,True,False,False
https://www.thesun.co.uk/news/24420901/jap-parts-stockton-on-tees-scrap-heap/,False,True,False
https://www.thesun.co.uk/money/24688765/wh-smith-expand-shops-sales-us-airports-america/,True,False,False
https://www.thesun.co.uk/money/28637992/barclays-bank-boss-slams-activists/,False,True,False
https://www.thesun.co.uk/tv/28380624/bbc-two-documentary-on-thin-ice-putin-greenpeace/,True,False,False
https://www.thesun.co.uk/news/29351268/undercover-just-stop-oil-plot-m25/,True,False,False
https://www.thesun.co.uk/news/29066341/waiter-forced-live-tents-slum-like-shanty-towns/,True,False,False
https://www.thesun.co.uk/royals/29883400/eco-idiots-plotting-storm-windsor-castle/,True,False,False
https://www.thesun.co.uk/news/30030654/giant-fish-eating-spiders-walk-on-water/,False,True,False
https://www.thesun.co.uk/royals/30152013/major-royal-residence-encircled-ring-steel-storm-grounds/,True,False,False
https://www.thesun.co.uk/news/30718520/just-stop-oil-vincent-van-gogh-painting/,True,False,False
https://www.thesun.co.uk/news/30853358/keir-starmer-great-british-industry-net-zero/,True,False,False
https://www.thesun.co.uk/tv/30898317/big-brother-nathan-connection-king-charles/,True,False,False
https://www.thesun.co.uk/tvandshowbiz/31629833/diddy-is-renting-out-his-air-combs-private-jet/,True,False,False
https://www.thesun.co.uk/news/politics/31894938/jacob-rees-mogg-reality-tv/,True,False,False
https://www.thesun.co.uk/news/32234495/labour-nepotism-rachel-reeves-wes-streeting-mcfadden/,False,True,False
https://www.thesun.co.uk/news/32602919/ed-miliband-political-liability-sun-says/,True,False,False
https://www.thesun.co.uk/news/35230124/greenpeace-emmanuel-macron-waxwork-russia/,True,False,False
https://www.thesun.co.uk/news/35523589/stabbing-needles-syringe-festival-women/,False,True,False
https://www.thesun.co.uk/news/35269234/pornhub-ban-europe-major-sites/,False,True,False
https://www.thesun.co.uk/news/35341749/jane-moore-israel-greta-thunberg-boats/,False,True,False
https://www.thesun.co.uk/news/35231529/thailand-brit-dead-beach-sea/,False,True,False
https://www.thesun.co.uk/news/36024092/donald-trump-spotted-son-eric-turnberry-scotland-visit/,True,False,False
https://www.thesun.co.uk/news/36020658/donald-trump-arrives-in-scotland-as-air-force-one-touches-down-in-prestwick/,True,False,False
https://www.thesun.co.uk/news/36014052/major-scots-road-bridge-closed-protest-police/,True,False,False
https://www.thesun.co.uk/news/36040098/donald-trumps-golf-caddie-drops-ball-in-prime-spot/,True,False,False
https://www.thesun.co.uk/news/36215043/trevor-kavanagh-keir-starmer-tories-save-britain/,False,True,False
